,franchise,name,city,address,phone
141,BurgerKing,685,Москва,"ул Адмирала Макарова 6 стр 13, ТЦ Невский причал",No data
142,BurgerKing,709,Москва,пр 1-й Угрешский 11,No data
143,BurgerKing,712,Москва,просп Зеленый 79А,No data
144,BurgerKing,715,Москва,ш Дмитровское 13А,No data
145,BurgerKing,717,Москва,"ул Авиаконструктора Миля вл 7, ТЦ МИЛЯ 3 этаж",No data
146,BurgerKing,718,Москва,"ул Удальцова 42, ТЦ Перекресток",No data
147,BurgerKing,758,Москва,"ул Новопетровская 6, ТЦ Петровский 3 этаж",No data
148,BurgerKing,788,Москва,"ш Энтузиастов 12 корп 2, ТЦ Город-Лефортово 3 этаж",No data
149,BurgerKing,817,Москва,"просп Ленинский вл 123 корп 1, ТЦ Галеон 2 этаж",No data
150,BurgerKing,834,Москва,ул Волжский бульвар 113А корп 1,No data
151,BurgerKing,835,Москва,"ул Тушинская 17, ТЦ Праздник 3 этаж",No data
152,BurgerKing,847,Москва,"Комсомольская площадь 5 стр 1, Ярославский вокзал",No data
153,BurgerKing,855,Москва,"бул Кронштадтский 3а, ТЦ Гавань 2 этаж",No data
154,BurgerKing,859,Москва,"Аэропорт Домодедово, терминал Т1 «грязная» зона 1 этаж",No data
155,BurgerKing,899,Москва,"просп Севастопольский 11Е, ТЦ Капитолий 3 этаж",No data
156,BurgerKing,900,Москва,"ш Аминьевское 6, ТЦ Квартал W 4 этаж",No data
157,BurgerKing,921,Москва,"ул Старокачаловская 5А, ТЦ Круг 2 этаж",No data
158,BurgerKing,949,Москва,"ул Орджоникидзе 11, Дисконт-Центр 1 этаж",No data
159,BurgerKing,989,Москва,"ш Измайловское 71А, ТЦ АСТ 3 этаж",No data
160,BurgerKing,995,Москва,"бул Ореховый 45, ТЦ Орех",No data
161,BurgerKing,1020,Москва,"просп Ленинградский 36, ТЦ Арена Плаза 1 этаж",No data
162,BurgerKing,1094,Москва,бул Страстной 6,No data
163,BurgerKing,1095,Москва,ул Авиамоторная 41Б,No data
164,BurgerKing,1098,Москва,внутренняя сторона МКАД 33 км вл 6,No data
165,BurgerKing,1104,Москва,"Аэропорт Домодедово, терминал Т1 «чистая» зона 2 этаж",No data
166,BurgerKing,1196,Москва,ул Федосьино 12,No data
167,BurgerKing,1215,Москва,"Павелецкая площадь Литер А, ТЦ Павелецкая Плаза 2 этаж",No data
168,BurgerKing,1289,Москва,"ул Каховка 29А, ТЦ Прайм Плаза 4 этаж",No data
169,BurgerKing,1301,Москва,"ш Алтуфьевское 70 корп 1, ТЦ Маркос Молл 3 этаж",No data
170,BurgerKing,1306,Москва,"ул Снежная 27, ТЦ Свиблово 3 этаж",No data
171,BurgerKing,1307,Москва,"МКАД 87 км 8, ТЦ ЧАС ПИК 3 этаж",No data
172,BurgerKing,1331,Москва,"ул Миклухо-Маклая 32А, ТЦ Капитолий 2 этаж",No data
173,BurgerKing,1347,Москва,"ул Большая Грузинская 1 стр 1, Московский Зоопар",No data
